ABELER JAMES J,MN,REP,145926.00
ADDIVINOLA FRANK J JR,MA,REP,56334.35
AGNEW FRANK CHRISTIAN,TN,REP,200.00
ALEXANDER LAMAR,TN,REP,6180688.00
ALEXANDER TED,NC,REP,31650.00
ALVAREZ ARMEN,IL,REP,
ANDERSON FRED R.,TN,REP,
ANDERSON JEREMY T,IN,REP,
ANDERSON JEREMY 'T',ID,REP,
ASPIRI MARK HANDLEY,CO,REP,
BARRASSO JOHN A,WY,REP,639763.00
BAUMGARDNER RANDY L,CO,REP,9352.00
BELL JEFFREY,NJ,REP,132815.00
BELOIN  GERARD,NH,REP,
BENNETT ERICK MATTHEW I,ME,REP,
BEVIN MATTHEW GRISWOLD,KY,REP,3755476.00
BLEMING THOMAS,WY,REP,
BOSWORTH ANNETTE DR,SD,REP,1935287.00
BOWERS DE TREVELLE FRANKLIN JR,SC,REP,586867.00
BRADSHAW ALEX LEE,NC,REP,
BRANNON GREGORY JOSEPH,NC,REP,1507480.00
BRENDA SHIVON LENARD,TN,REP,23286.00
BRIGHT LEE,SC,REP,379111.00
BROGDON RANDALL C,OK,REP,161953.00
BROUN PAUL COLLINS,GA,REP,1686953.00
BROWN SCOTT,NH,REP,3324720.00
BUCK KENNETH R,CO,REP,809158.50
BUTCHER LARRY EUGENE,WV,REP,
CALLAHAN MARK ALLEN,OR,REP,27111.00
CAPITO SHELLEY MOORE,WV,REP,5359457.00
CAREY THOMAS L.,MS,REP,
CARLSON DAVID,MN,REP,
CARPENTER SAMUEL STEPHEN,OR,REP,18670.00
CARR JOE S,TN,REP,1144887.00
CASH RICHARD J,SC,REP,628619.00
CASSIDY WILLIAM,LA,REP,5910901.00
CAVASSO CAMPBELL,HI,REP,114994.00
CHADWICK MICHAEL L,ID,REP,
CHENEY ELIZABETH (LIZ),WY,REP,1791702.00
CLEAVER CURTIS CHRISTOPHER,TX,REP,1004.00
CLEMENTS DAVID KALE,NM,REP,17901.00
CLEMENTS THOMAS PATRICK,LA,REP,
CLIFTON ARTHUR BRUCE,WY,REP,
CLOVIS SAMUEL,IA,REP,319794.00
COCHRAN THAD,MS,REP,5400982.00
COLLINS SUSAN M,ME,REP,4138952.00
CONGER JASON,OR,REP,372497.00
CONNOR WILLIAM MELLARD V,SC,REP,146949.00
CONOVER FLOYD R,TN,REP,
COPAS JAMES BRADLEY,KY,REP,
COPE KENNETH CLIFFORD JR,TX,REP,4762.00
CORNYN JOHN,TX,REP,9673385.00
COTTON THOMAS,AR,REP,6682006.06
CRAIG ANDREW WILLIAM,OK,REP,
CRAWLEY TIMOTHY,OR,REP,12963.00
CROW KEVIN HENRY,OK,REP,6049.00
CUNDIFF SUSAN MARIE,MT,REP,
D'ANNUNZIO TIMOTHY BRUCE,NC,REP,
D'ARCY ROBERT,NH,REP,
DAINES STEVEN,MT,REP,4365297.08
DETORA ANTHONY,VA,REP,13200.00
DINSDALE SID,NE,REP,1041321.00
DODRILL MATTHEW STEPHEN,WV,REP,5410.00
DUNN BENJAMIN,SC,REP,14337.00
DZIEDZIC MIRO,NH,REP,
ECK ALIETA,NJ,REP,61032.00
EDMUNDS JR RICHARD CHAMPION,MT,REP,29539.00
EMBLER TERRY,NC,REP,138.00
ENZI MICHAEL B,WY,REP,2885134.00
ERNST JONI K,IA,REP,2488485.00
FARNHAM MARK W,NH,REP,
FELICIANO SUAN DAVID,SC,REP,
FLINN GEORGE SHEA,TN,REP,7000.00
FLYNN WILLIAM,NC,REP,7364.00
FRIEL HARRY,HI,REP,
GARDNER ARTHUR AUGUSTINE,GA,REP,102796.00
GARDNER CORY,CO,REP,4600135.00
GILLESPIE EDWARD W,VA,REP,4111131.00
GINGREY J PHILLIP,GA,REP,1611206.00
GOLDBERG BRIAN DAVID,NJ,REP,3112.00
GOMEZ GABRIEL,MA,REP,3644142.00
GRAHAM LINDSEY OLIN,SC,REP,6520501.00
